"","term","sum","matched_pathways","seed"
"1","Pulmonary Arterial Hypertension","NA","",3011
"2","Diabetic Neuropathies","NA","",3011
"3","Fractures, Closed","NA","",3011
"4","Hypersplenism","0","",3011
"5","Hyperlipoproteinemia Type III","0","",3011
"6","Stomach Diseases","1","Coronavirus disease - COVID-19",3011
"7","Keratoconjunctivitis","0","",3011
"8","Monkey Diseases","1","Coronavirus disease - COVID-19",3011
"9","Infarction","1","Coronavirus disease - COVID-19",3011
"10","Exercise-Induced Allergies","0","",3011
"11","Hypertension, Renovascular","1","Coronavirus disease - COVID-19",3011
"12","Folliculitis","1","Coronavirus disease - COVID-19",3011
"13","Azotemia","0","",3011
"14","Nicolau Syndrome","NA","",3011
"15","Fusobacterium Infections","1","Coronavirus disease - COVID-19",3011
"16","Panniculitis","1","Coronavirus disease - COVID-19",3011
"17","Post-Concussion Syndrome","1","Coronavirus disease - COVID-19",3011
"18","Pulmonary Adenomatosis, Ovine","NA","",3011
"19","Neoplasm Seeding","1","Coronavirus disease - COVID-19",3011
"20","Pyelonephritis","1","Coronavirus disease - COVID-19",3011
"21","Bile Reflux","0","",3011
"22","Oral Submucous Fibrosis","1","Coronavirus disease - COVID-19",3011
"23","Polycythemia","1","Coronavirus disease - COVID-19",3011
"24","Aortic Dissection","1","Coronavirus disease - COVID-19",3011
"25","Colorado Tick Fever","NA","",3011
"26","Craniosynostoses","0","",3011
"27","Craniocerebral Trauma","1","Coronavirus disease - COVID-19",3011
"28","Bicornuate Uterus","NA","",3011
"29","Thyroid Dysgenesis","0","",3011
"30","Ergotism","NA","",3011
"31","Epilepsy, Frontal Lobe","1","Coronavirus disease - COVID-19",3011
"32","Carcinoma, Skin Appendage","0","",3011
"33","Herpangina","0","",3011
"34","Fractures, Open","0","",3011
"35","Choroiditis","1","Coronavirus disease - COVID-19",3011
"36","Cystic Fibrosis","1","Coronavirus disease - COVID-19",3011
"37","Staphylococcal Skin Infections","1","Coronavirus disease - COVID-19",3011
"38","Mastoiditis","0","",3011
"39","Slow Virus Diseases","1","Coronavirus disease - COVID-19",3011
"40","Psychoses, Alcoholic","NA","",3011
"41","Sleep Apnea, Obstructive","1","Coronavirus disease - COVID-19",3011
"42","Lupus Erythematosus, Cutaneous","1","Coronavirus disease - COVID-19",3011
"43","Activated Protein C Resistance","0","",3011
"44","Central Nervous System Infections","1","Coronavirus disease - COVID-19",3011
"45","Scurvy","0","",3011
"46","Sjogren's Syndrome","1","Coronavirus disease - COVID-19",3011
"47","Klippel-Feil Syndrome","0","",3011
"48","Antley-Bixler Syndrome Phenotype","0","",3011
"49","Rhabdoid Tumor","0","",3011
"50","Chondroblastoma","0","",3011
"51","Signs and Symptoms, Respiratory","1","Coronavirus disease - COVID-19",3011
"52","Hereditary Angioedema Type III","0","",3011
"53","Propofol Infusion Syndrome","NA","",3011
"54","De Quervain Disease","0","",3011
"55","Brain Damage, Chronic","1","Coronavirus disease - COVID-19",3011
"56","Epileptic Syndromes","0","",3011
"57","Gingival Pocket","0","",3011
"58","Pulmonary Veno-Occlusive Disease","0","",3011
"59","Placenta Previa","0","",3011
"60","Peptic Ulcer Perforation","0","",3011
"61","Olfactory Nerve Injuries","0","",3011
"62","Sarcoma 37","NA","",3011
"63","Esophageal Neoplasms","1","Coronavirus disease - COVID-19",3011
"64","Articulation Disorders","0","",3011
"65","Joint Diseases","1","Coronavirus disease - COVID-19",3011
"66","Tauopathies","1","Coronavirus disease - COVID-19",3011
"67","Vagus Nerve Injuries","0","",3011
"68","Sarcoma, Alveolar Soft Part","0","",3011
"69","Lacrimal Apparatus Diseases","1","Coronavirus disease - COVID-19",3011
"70","Supranuclear Palsy, Progressive","1","Coronavirus disease - COVID-19",3011
"71","Muscle Neoplasms","0","",3011
